"name","price","description","category","tag","sizes","image","stockStatus"
"Strike Tee","29","Lightweight and moisture-wicking performance tee for intense training sessions.","Men — T-Shirts","NEW","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","sold_out"
"Velocity Tee","31","Engineered mesh fabric keeps you cool during high-output workouts.","Men — T-Shirts","HOT","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Phantom Graphic Tee","33","Bold graphic design with premium cotton-poly blend construction.","Men — T-Shirts","SALE","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Edge Oversized Tee","35","Relaxed oversized cut with anti-odour technology for all-day comfort.","Men — T-Shirts","EXCLUSIVE","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Core Compression Tee","37","Compression fit to support muscle recovery and reduce fatigue.","Men — T-Shirts","LIMITED","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Apex Performance Tee","39","Lightweight and moisture-wicking performance tee for intense training sessions.","Men — T-Shirts","BESTSELLER","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Stealth Dry-Fit Tee","41","Engineered mesh fabric keeps you cool during high-output workouts.","Men — T-Shirts","","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Altitude Training Tee","43","Bold graphic design with premium cotton-poly blend construction.","Men — T-Shirts","","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Force Muscle Tee","45","Relaxed oversized cut with anti-odour technology for all-day comfort.","Men — T-Shirts","","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Grid Texture Tee","47","Compression fit to support muscle recovery and reduce fatigue.","Men — T-Shirts","NEW","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Urban Runner Tee","49","Lightweight and moisture-wicking performance tee for intense training sessions.","Men — T-Shirts","HOT","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Shadow Print Tee","51","Engineered mesh fabric keeps you cool during high-output workouts.","Men — T-Shirts","SALE","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Rush Longline Tee","53","Bold graphic design with premium cotton-poly blend construction.","Men — T-Shirts","EXCLUSIVE","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Combat Tee","55","Relaxed oversized cut with anti-odour technology for all-day comfort.","Men — T-Shirts","LIMITED","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Blaze Reflective Tee","57","Compression fit to support muscle recovery and reduce fatigue.","Men — T-Shirts","BESTSELLER","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Alpha Mesh Tee","59","Lightweight and moisture-wicking performance tee for intense training sessions.","Men — T-Shirts","","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","sold_out"
"Summit Tee","61","Engineered mesh fabric keeps you cool during high-output workouts.","Men — T-Shirts","","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Drift Tee","63","Bold graphic design with premium cotton-poly blend construction.","Men — T-Shirts","","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Rage Graphic Tee","65","Relaxed oversized cut with anti-odour technology for all-day comfort.","Men — T-Shirts","NEW","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Titan Base Layer Tee","67","Compression fit to support muscle recovery and reduce fatigue.","Men — T-Shirts","HOT","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80","active"
"Rival Oxford Shirt","59","Tailored fit Oxford shirt with moisture management for active lifestyles.","Men — Shirts","SALE","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=400&q=80","active"
"Precision Check Shirt","62","Classic check pattern with 4-way stretch for unrestricted movement.","Men — Shirts","EXCLUSIVE","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=400&q=80","active"
"Trek Field Shirt","65","Durable field shirt with multiple pockets for outdoor adventures.","Men — Shirts","LIMITED","XS,S,M,L,XL,XXL","https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=400&q=80","active"
